,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,42.81,28.45,3.08,3.08,11.41,14.06,4.79,11.29,12.20,12670000000.0,12670000000.0,18.33,1.84,3.14,15.47,3.14,2040000000.0,15.47,468000000.0,1.38,70.80,0.20,1930000000.0,5.89,1730000000.0,3.59,12.33,617000000.0,1.23,0.39,85.20,4490000.0,1.80,1.54,5980000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,64.42,N/A,0.56,1.05,1.43,8.24,3.14,1.36,17.90,19760000000.0,19760000000.0,16.70,5.68,0.88,6.30,0.88,4460000000.0,6.30,391000000.0,0.31,N/A,17.80,1920000000.0,1.46,9100000000.0,1.53,9.15,1580000000.0,0.63,0.13,62.50,187780000.0,4.54,15.38,164960000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,49.11,10.88,2.39,4.37,22.87,30.28,16.02,42.71,41.35,591600000000.0,591600000000.0,10.23,0.97,2.52,7.15,2.52,93630000000.0,7.15,53730000000.0,9.40,1.90,1.70,38390000000.0,6.92,62990000000.0,1.00,23.13,75010000000.0,1.36,0.03,60.20,63540000.0,1.02,1.15,66000000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,802.81,18.44,3.96,22.95,22.50,38.93,13.81,180.90,14.07,116270000000.0,116270000000.0,9.67,0.65,5.09,11.94,5.09,18360000000.0,11.94,5120000000.0,3.13,N/A,17.40,8420000000.0,5.22,31670000000.0,1.50,2.45,7540000000.0,1.60,0.10,73.60,27540000.0,2.59,1.73,24450000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,346.28,49.69,0.13,13.68,0.28,0.98,3.05,25.78,648.50,21920000000.0,21920000000.0,13.86,1.03,0.16,13.38,0.16,3530000000.0,13.38,395440000.0,1.80,N/A,9.30,978090000.0,4.76,4500000000.0,0.85,6.30,3770000000.0,0.89,5.53,86.10,12090000.0,4.21,6.24,10710000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,42.21,13.79,2.82,2.71,21.68,14.84,4.59,12.13,13.64,62350000000.0,62350000000.0,16.75,1.91,3.06,14.00,3.06,11660000000.0,14.00,2590000000.0,2.93,15.20,3.10,6120000000.0,4.16,9000000000.0,1.54,14.40,2970000000.0,1.50,0.21,70.50,16910000.0,1.94,1.15,16450000.0,N/A
6,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.43,22.26,2.09,10.98,9.76,14.55,15.91,52.33,49.76,63310000000.0,63310000000.0,18.48,2.05,2.03,12.19,2.03,9810000000.0,12.19,3040000000.0,4.75,1.50,1.50,3080000000.0,4.90,27660000.0,1.25,9.43,3830000000.0,0.93,0.21,83.10,10120000.0,3.10,1.61,9300000.0,N/A
7,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,27.24,69.35,8.82,6.03,13.13,18.86,5.02,9.14,9.62,40780000000.0,40780000000.0,23.24,1.14,8.50,32.77,8.50,4050000000.0,32.77,629550000.0,1.24,152.70,21.70,3990000000.0,8.00,1910000000.0,2.18,14.07,1470000000.0,1.21,0.38,92.30,4390000.0,1.42,0.91,4890000.0,N/A
8,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,34.65,26.02,4.98,3.42,19.89,30.59,9.10,13.93,10.98,15280000000.0,15280000000.0,17.37,1.96,4.45,12.06,4.45,2260000000.0,12.06,682620000.0,2.15,8.00,0.30,3790000000.0,12.22,1730000000.0,7.82,16.11,958850000.0,1.11,0.75,88.30,5080000.0,1.58,1.64,5870000.0,N/A
9,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,32.81,12.28,0.31,1.19,2.73,2.97,2.99,9.83,109.55,26270000000.0,26270000000.0,12.49,13.75,0.39,9.08,0.39,4019999999.9999995,9.08,1850000000.0,2.98,2.40,21.30,1350000000.0,2.27,5880000000.0,1.62,30.08,2480000000.0,1.23,2.23,77.00,14470000.0,2.72,2.35,13290000.0,N/A
